Method,Year,Author1,Author2,Author3,Author4,Author5,Author6,Author7,Author8,Author9,Author10,Author11,Author12,Author13,Author14,Author15,Author16,Author17,Author18,Author19,Author20,Author21,Author22,Author23,Author24,Author25,Author26,Author27,Author28,Author29,Author30,Author31,Author32,Author33,Author34,Author35
SCCS,2010,Petersen I,Gilbert R,Evans SJ,Ridolfi A,Nazareth I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2011,Andrews N,Stowe J,Al-Shahi Salman R,Miller E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2011,Coupland CAC,Dhiman P,Barton G,Morriss R,Arthur A,Sach T,Hippisley-Cox J,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2011,Escolano S,Farrington CP,Hill C,Tubert-Bitter P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2011,Farez MF,Correale J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2011,Glanz JM,Newcomer SR,Hambidge SJ,Daley MF,Narwaney KJ,Xu Stan,Lee Grace M,Baggs JM,Klein NP,Nordin JD,Naleway AL,Belongia EA,Weintraub ES,,,,,,,,,,,,,,,,,,,,,,
SCCS,2011,Gribbin J,Hubbard R,Gladman J,Smith C,Lewis S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2011,Gribbin J,Hubbard R,Gladman J,Smith C,Lewis S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2011,Gwini SM,Coupland CAC,Siriwardena AN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2011,Hambidge SJ,Ross C,McClure D,Glanz JM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2011,Morgan TM,Schlegel C,Edwards KM,Welch-Burke T,Zhu Yuwei,Sparks R,Summar M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2011,Mullooly JP,Schuler R,Mesa J,Drew L,DeStefano F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2011,Patel MM,Lopez-Callada VR,Bulhoes MM,De Oliveira LH,Marquez AB,Flannery B,Esparza-Aguilar M,Renoiner EIM,Luna-Cruz ME,Sato HK,Hernandez-Hernandez LD,Toledo-Cortina G,Ceron-Rodriguez M,Osnaya-Romero N,Martinez-Alcazar M,Aguinaga-Villasenor RG,Plascencia-Hernandez A,Fojaco-Gonzalez F,Rezk GHP,Gutierrez-Ramirez SF,Dorame-Castillo R,Tinajero-Pizano R,Mercado-Villegas B,Barbosa MR,Maluf EMC,Ferreira LB,de Carvalho FM,dos Santos AR,Cesar ED,de Oliveira MEP,Silva CLO,Cortes MD,Matus CR,Tate J,Gargiullo PM
SCCS,2011,Stowe J,Andrews N,Bryan P,Seabroke S,Miller E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2011,Traversa G,Spila-Alegiani S,Bianchi C,degli Atti MC,Frova L,Massari M,Raschetti R,Salmaso S,Tomba GS,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2011,Wilson K,Hawken S,Kwong JC,Deeks SL,Crowcroft NS,Van Walraven C,Potter BK,Chakraborty P,Keelan J,Pluscauskas M,Manuel DG,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2011,Wilson K,Hawken S,Kwong JC,Deeks SL,Manuel DG,Henningsen KH,Crowcroft NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2011,Wilson K,Hawken S,Potter BK,Chakraborty P,Kwong JC,Crowcroft NS,Rothwell D,Manuel DG,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2012,Andrews N,Stowe J,Miller E,Svanstrom H,Johansen K,Bonhoeffer J,Hviid A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2012,Arnheim-Dahlstrom L,Hallgreen J,Weibull CE,Sparen P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2012,Butt DA,Mamdani M,Austin PC,Tu Karen,Gomes T,Glazier RH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2012,Crawford NW,Cheng A,Andrews N,Charles PG,Clothier HJ,Day B,Day T,Gates P,Macdonnell R,Roberts L,Rodriguez-Casero V,Wijeratne T,Kiers L,,,,,,,,,,,,,,,,,,,,,,
SCCS,2012,Dassanayake TL,Jones AL,Michie PT,Carter GL,McElduff P,Stokes BJ,Whyte IM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2012,De Wals P,Deceuninck G,Toth E,Boulianne N,Brunet D,Boucher RM,Landry M,De Serres G,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCCS,2012,Douglas I,Evans SJ,Hingorani A,Grosso A,Timmis  A,Hemingway H,Smeeth L,,,,,,,,,,,,,,,,,,,,,,,,,,,,
